name,description,product_variants,sku,pack,size,gtin,retail_price,is_catch_weight,average_case_weight,image_url,manufacturer_sku,content_url,ordering_unit,is_broken_case,avg_case_weight,brand,category,sub-category,product-category-style,manufacturer_name,distributor_name,supplier_name,country_of_origin,Group,Level 1 Category,Level 2 Category,Level 3 Category
Special V Cognac,"Eye : Reddish tones.

Nose : Freshly baked bread, a softness of buttercream and chestnut honey.

Palate : Smooth notes of caramel and vanilla harmonize with lively apricot tones and an earthy chestnut finish.",,1832938,12,375.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2361021/8c0adbeaa8b025b820e74.png?1656337170,,https://johnsonbrothers.storefronts.site/p/6XCPZ,,,,Davidoff Cognac,Spirit,Brandy,Cognac,,johnson brothers,Prestige Beverage Group,France,Alcohol,Spirit,Brandy,Cognac
Special V Cognac,"Eye : Reddish tones.

Nose : Freshly baked bread, a softness of buttercream and chestnut honey.

Palate : Smooth notes of caramel and vanilla harmonize with lively apricot tones and an earthy chestnut finish.",,1125371,24,200.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2361021/8c0adbeaa8b025b820e74.png?1656337170,,https://johnsonbrothers.storefronts.site/p/6XCPZ,,,,Davidoff Cognac,Spirit,Brandy,Cognac,,johnson brothers,Prestige Beverage Group,France,Alcohol,Spirit,Brandy,Cognac
VSOP Cognac,"A contemporary cognac with hints of freshly baked bread, butter cream and chestnut honey. Smooth notes of caramel and vanilla harmonize superbly with lively apricot tones and an earthy chestnut finish.",,1101658,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/743938/6cff603867678a81d3813.png?1550006296,,https://johnsonbrothers.storefronts.site/p/DH4YN,,,,Davidoff Cognac,Spirit,Brandy,Cognac,,johnson brothers,Prestige Beverage Group,France,Alcohol,Spirit,Brandy,Cognac
VSOP Cognac,"A contemporary cognac with hints of freshly baked bread, butter cream and chestnut honey. Smooth notes of caramel and vanilla harmonize superbly with lively apricot tones and an earthy chestnut finish.",,1459891,12,375.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/743938/6cff603867678a81d3813.png?1550006296,,https://johnsonbrothers.storefronts.site/p/DH4YN,,,,Davidoff Cognac,Spirit,Brandy,Cognac,,johnson brothers,Prestige Beverage Group,France,Alcohol,Spirit,Brandy,Cognac
Muscat Tsipouro Of Tirnavos Grape Marc Brandy,"Dekaraki from Greece, provided by Prestige Beverage Group. Enjoy the unique taste and quality.",,1427809,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2361164/b9a84b5a68c3ba32e4ea7.png?1656338231,,https://johnsonbrothers.storefronts.site/p/POAGF,,,,Dekaraki,Spirit,Brandy,Marc,,johnson brothers,Prestige Beverage Group,Greece,Alcohol,Spirit,Brandy,Marc
10 Year Old Methexis Cigar Barrel Aged Mature Grape Brandy,"Domaine Costa Lazaridi from Greece, provided by Domaine Costa Lazaridi SA. Enjoy the unique taste and quality.",,1985566,3,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2367679/04917fd2da233bc0d9dc1.png?1656596688,,https://johnsonbrothers.storefronts.site/p/O6VLU,,,,Domaine Costa Lazaridi,Spirit,Brandy,Other,,johnson brothers,Domaine Costa Lazaridi SA,Greece,Alcohol,Spirit,Brandy,Other
10 Year Old Methexis Cigar Barrel Aged Mature Grape Brandy,"Domaine Costa Lazaridi from Greece, provided by Domaine Costa Lazaridi SA. Enjoy the unique taste and quality.",,1677827,3,700.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2367679/04917fd2da233bc0d9dc1.png?1656596688,,https://johnsonbrothers.storefronts.site/p/O6VLU,,,,Domaine Costa Lazaridi,Spirit,Brandy,Other,,johnson brothers,Domaine Costa Lazaridi SA,Greece,Alcohol,Spirit,Brandy,Other
Château Julia Drama Merlot,"Solid, deep red. Enchanting alternation of impressions. Redcurrant, cherry jam, mint chocolate, ink and cedar are only some of the identifiable aromas. Fleshy, rich, almost plethoric, with abundant fruit supporting the well integrated tannins. The theoretically high alcohol is balanced by the acidity and expressed mainly as sweetness and volume. Long finish with notes of chocolate.",,1364737,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/123969/7a6018d77726d507014d6.png?1518560759,,https://johnsonbrothers.storefronts.site/p/KHFJA,,,,Domaine Costa Lazaridi,Wine,Still,Red,,johnson brothers,Domaine Costa Lazaridi SA,Greece,Alcohol,Wine,Still,Red
Drama Agiorgitiko Château Julia,"This red variety, is most commonly found in Nemea Peloponnese. It produces medium- to high- acid wines depending on elevations and soil profiles. Deep red fruits (plum and cherry) and spice. Considered to be one of Greece’s best red varietals and biggest producing red variety.",,1481282,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2342993/4e5e291cbac8a739524e9.png?1655369463,,https://johnsonbrothers.storefronts.site/p/POWAZ,,,,Domaine Costa Lazaridi,Wine,Still,Red,,johnson brothers,Domaine Costa Lazaridi SA,Greece,Alcohol,Wine,Still,Red
Drama Amethystos Blanc,"Straw yellow, crystal bright colour, with green hues, an indication of youth.

Attractive, fresh aromas reminiscent of peach, mango and pineapple on a citrus background.

The grace and finesse of the Sauvignon Blanc meet the strength and intensity of the Assyrtiko. The result is a wine with a fresh full taste and a fruity finish.",,1096495,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2282159/5a6399aeab673ed12e801.png?1651681527,,https://johnsonbrothers.storefronts.site/p/VNSGC,,,,Domaine Costa Lazaridi,Wine,Still,White,,johnson brothers,Domaine Costa Lazaridi SA,Greece,Alcohol,Wine,Still,White
Drama Amethystos Cava,"Color : Solid, almost black, dark red.
Aroma : Multilayered aromatic bouquet, with big development potential. Violet, blackcurrant, a hint of plum jam, mint, cedar and tasted bread alternate in the foreground.
Palate : The sense of richness and power dominates without sacrificing balance. Tannins, firm but well crafted, dressed with plenty of fruit, promising longevity and great enjoyment in the future.",,1504784,6,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/large/2871512/MissMarys_Original_32oz_430px.png,,https://johnsonbrothers.storefronts.site/p/VMUV9,,,,Domaine Costa Lazaridi,Wine,Still,Red,,johnson brothers,Domaine Costa Lazaridi SA,Greece,Alcohol,Wine,Still,Red
Drama Amethystos Fumé,"Bright light-yellow, with blond-green hues.

Attractive and complex aromatic presence which is shaped both by the grape and the barrel. Exotic fruit, casis leaves, butter, vanilla and an aura of sweet spices.

The measured acidity balances the alcohol and the body of the wine forming a harmonious result. Long and persistent finish dominated by exotic fruit and wood.",,1804529,6,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/1992610/5d4d9335bde86be1896c6.png?1626442367,,https://johnsonbrothers.storefronts.site/p/B4LQM,,,,Domaine Costa Lazaridi,Wine,Still,White,,johnson brothers,Domaine Costa Lazaridi SA,Greece,Alcohol,Wine,Still,White
Drama Amethystos Rosé,"Exceptionally bright and a light colour between light rosy and salmon. Lively nose reminiscent primarily of red fruit like strawberry and cherry, with a hint of lemon verbena and an almost imperceptible presence of spices. Elegance and finesse with a refreshing acidity which balances the alcohol creating a sense of harmony rounded up with a pleasant fruity finish.",,1477566,6,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2793958/7dcb66b08b5b371d0a6fd.png?1697048249,,https://johnsonbrothers.storefronts.site/p/P7E4O,,,,Domaine Costa Lazaridi,Wine,Still,Rosé,,johnson brothers,Domaine Costa Lazaridi SA,Greece,Alcohol,Wine,Still,Rosé
Drama Amethystos Rosé,"Crystal bright, deep rosy colour. Expressive aromatic presence in tones of redcurrant and strawberry candy. Lively at first contact, it then reveals a model combination of richness and acidity, completed by the long fruity finish.

Ideal match for many staples of Greek cuisine like stuffed vegetables, ”ladera” (vegetables cooked in an olive oil-based sauce), seafood and fish in tomato sauce, but also, a valued ally to face the spicy challenges of indian or Thai cuisine.",,1904363,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2263231/76c974a70251eacc868c5.png?1650906006,,https://johnsonbrothers.storefronts.site/p/ZE9D2,,,,Domaine Costa Lazaridi,Wine,Still,Rosé,,johnson brothers,Domaine Costa Lazaridi SA,Greece,Alcohol,Wine,Still,Rosé
Drama Amethystos Rouge,"Bright and dense, purple red.

Well structured bouquet, combining aromas of red forest fruit, cherry jam and spices on a discreet oak background.

Warm and full at first, it then unrolls its richness, structure and its noble tannins. The long finish sees the return of of the aromas of fruit and spices.",,1395521,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2367623/40b231b716dc2b47682cb.png?1656596615,,https://johnsonbrothers.storefronts.site/p/K5UBM,,,,Domaine Costa Lazaridi,Wine,Still,Red,,johnson brothers,Domaine Costa Lazaridi SA,Greece,Alcohol,Wine,Still,Red
Drama Assyrtiko Château Julia,"High- acid variety, native to Santorini, considered by many to make Greece’sfinest white. Usually used to make dry, racy wines with strong mineral character, citrus aromas mixed with an earthy, mineral aftertaste due to the volcanic soil of Santorini.",,1821087,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2343011/7ac4ac2f3b9ac15f9cff6.png?1655369486,,https://johnsonbrothers.storefronts.site/p/NXU9V,,,,Domaine Costa Lazaridi,Wine,Still,White,,johnson brothers,Domaine Costa Lazaridi SA,Greece,Alcohol,Wine,Still,White
Drama Brut Blanc de Blancs,"Domaine Costa Lazaridi from Greece, provided by Domaine Costa Lazaridi SA. Enjoy the unique taste and quality.",,1006121,6,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2909476/9fed99b8df2c3abff647a.png?1704174699,,https://johnsonbrothers.storefronts.site/p/20RID,,,,Domaine Costa Lazaridi,Wine,Sparkling,White,,johnson brothers,Domaine Costa Lazaridi SA,Greece,Alcohol,Wine,Sparkling,White
Drama Chardonnay Château Julia,"Bright, straw-blonde, with green glimpses of freshness. Lively aromas of flowers and fruit, with jasmine, pineapple and banana standing out on a citrus background. Refreshing acidity combined with power and good structure. Fruity mouth and persistent finish.",,1379714,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3209241/efaee5c3eed53206214de.png?1720538025,,https://johnsonbrothers.storefronts.site/p/DFDQH,,,,Domaine Costa Lazaridi,Wine,Still,White,,johnson brothers,Domaine Costa Lazaridi SA,Greece,Alcohol,Wine,Still,White
Drama Malagousia,"Bright, yellow-green colour.

Intense with vegetal and terpenic hints on a background of white flowers and white fleshed fruit..

Round and full, with refreshing acidity and great freshness. Intense taste, with a long finish dominated by aromas of peach and apricot.",,1804474,6,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2367672/4ee832090febff85ad5a7.png?1656596680,,https://johnsonbrothers.storefronts.site/p/8XFHX,,,,Domaine Costa Lazaridi,Wine,Still,White,,johnson brothers,Domaine Costa Lazaridi SA,Greece,Alcohol,Wine,Still,White
Idoniko Tsipouro Anise,"Clear that becomes lightly milky with the addition of water in the glass.

The aromas of the anise dominates on a discreet fruity background.

Soft and gentle, with a persistent, spicy finish.",,1638670,6,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2367666/a00e9f05a37f094fb2c86.png?1656596673,,https://johnsonbrothers.storefronts.site/p/YRF9D,,,,Domaine Costa Lazaridi,Spirit,Brandy,Marc,,johnson brothers,Domaine Costa Lazaridi SA,Greece,Alcohol,Spirit,Brandy,Marc
Idoniko Tsipouro Anise,"Clear that becomes lightly milky with the addition of water in the glass.

The aromas of the anise dominates on a discreet fruity background.

Soft and gentle, with a persistent, spicy finish.",,1925622,24,200.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2367666/a00e9f05a37f094fb2c86.png?1656596673,,https://johnsonbrothers.storefronts.site/p/YRF9D,,,,Domaine Costa Lazaridi,Spirit,Brandy,Marc,,johnson brothers,Domaine Costa Lazaridi SA,Greece,Alcohol,Spirit,Brandy,Marc
Idoniko Tsipouro Grape Brandy,"Crystal clear, transparent.

Delicate and elegant nose with hints of summer fruit and orange blossom.

Richness and finesse combine to offer a lasting impression.",,1421988,6,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2367659/2d3157a3b2cc6bd2962e7.png?1656596666,,https://johnsonbrothers.storefronts.site/p/873OB,,,,Domaine Costa Lazaridi,Spirit,Brandy,Grappa,,johnson brothers,Domaine Costa Lazaridi SA,Greece,Alcohol,Spirit,Brandy,Grappa
Idoniko Tsipouro Grape Brandy,"Crystal clear, transparent.

Delicate and elegant nose with hints of summer fruit and orange blossom.

Richness and finesse combine to offer a lasting impression.",,1756580,24,200.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2367659/2d3157a3b2cc6bd2962e7.png?1656596666,,https://johnsonbrothers.storefronts.site/p/873OB,,,,Domaine Costa Lazaridi,Spirit,Brandy,Grappa,,johnson brothers,Domaine Costa Lazaridi SA,Greece,Alcohol,Spirit,Brandy,Grappa
Methexis Muscat,"Colour : Clear and bright.
Aroma : Elegant presence with hints of roses, bergamot and lemon blossom.
Taste : Full, concentrated, without loosing its finesse with a nice rosy finish.",,1599504,6,375.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/260457/55c8b6604e88db4813a60.png?1530043108,,https://johnsonbrothers.storefronts.site/p/QB8I3,,,,Domaine Costa Lazaridi,Spirit,Brandy,Eau-de-vie,,johnson brothers,Domaine Costa Lazaridi SA,Greece,Alcohol,Spirit,Brandy,Eau-de-vie
Gold Tequila,"Durango Gold Tequila DSS is a blend of Tequila and Neutral Grain Spirits. The addition of Neutral Grain Spirits creates a cleaner taste that is ideal for margaritas and traditional shots.
",,1826189,6,1.75,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2279531/c0719da72dfd61f404919.png?1651535387,,https://johnsonbrothers.storefronts.site/p/J7GZH,,,,Durango Spirits,Spirit,Tequila,Joven/Oro,,johnson brothers,Prestige Beverage Group,Mexico,Alcohol,Spirit,Tequila,Joven/Oro
White Tequila,"Durango Spirits from Mexico, provided by Prestige Beverage Group. Enjoy the unique taste and quality.",,1279266,6,1.75,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2234807/89c306740a36f7c801821.png?1648205257,,https://johnsonbrothers.storefronts.site/p/RUY1Z,,,,Durango Spirits,Spirit,Tequila,Blanco,,johnson brothers,Prestige Beverage Group,Mexico,Alcohol,Spirit,Tequila,Blanco
Imathia Petritis,"Deep red color, sweet flavor and mild taste.",,1317319,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/32477/6b84dac5d219307c559c4.png?1508993997,,https://johnsonbrothers.storefronts.site/p/WD0CR,,,,Estate Chrisohoou,Wine,Still,Red,,johnson brothers,Prestige Beverage Group,Greece,Alcohol,Wine,Still,Red
Naoussa Xinomavro,"A Dry Wine of Superior quality from the noble Xinomavro grape, with deep red color and a long finish.",,1316247,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/1616991/fdc9c1a05505b6565f3d9.png?1593169322,,https://johnsonbrothers.storefronts.site/p/Z2HCF,,,,Estate Chrisohoou,Wine,Still,Red,,johnson brothers,Prestige Beverage Group,Greece,Alcohol,Wine,Still,Red
Premium Lager Beer,Its soft flavor has a balanced bitterness enhancing the pleasant flavors that emerged during the yeast fermentation and a rounded long-lasting aftertaste. Its content in alcohol amounts to 5% and its prevailing perfumes are the freshness of apple and banana scents,,1015424,24,330.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/1617617/7f1d5cd2a6e4c4129fb6d.png?1593174855,,https://johnsonbrothers.storefronts.site/p/8Z975,,,,Fix Hellas,Beer,Lager,Pale,,johnson brothers,Prestige Beverage Group,Greece,Alcohol,Beer,Lager,Pale
Venezia Pinot Grigio,"Fossetta from Italy, provided by Prestige Beverage Group. Enjoy the unique taste and quality.",,1148836,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2927142/50cc81c1b28e6d1d5cf58.png?1705378341,,https://johnsonbrothers.storefronts.site/p/5HVF1,,,,Fossetta,Wine,Still,White,,johnson brothers,Prestige Beverage Group,Italy,Alcohol,Wine,Still,White
Delle Venezie Pinot Grigio,"Gionelli from Italy, provided by Prestige Beverage Group. Enjoy the unique taste and quality.",,1013365,6,1.5,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2253767/8c98b31b2a219d3ebcdc3.png?1650400894,,https://johnsonbrothers.storefronts.site/p/HH1W3,,,,Gionelli,Wine,Still,White,,johnson brothers,Prestige Beverage Group,Italy,Alcohol,Wine,Still,White
Delle Venezie Pinot Grigio,"Gionelli from Italy, provided by Prestige Beverage Group. Enjoy the unique taste and quality.",,1487390,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/2253767/8c98b31b2a219d3ebcdc3.png?1650400894,,https://johnsonbrothers.storefronts.site/p/HH1W3,,,,Gionelli,Wine,Still,White,,johnson brothers,Prestige Beverage Group,Italy,Alcohol,Wine,Still,White
Montepulciano d'Abruzzo,"Ruby red hues give way to aromas of ripe berries and flavors of dark fruit with a touch of vanilla and spice. Soft tannins round out this rich, medium-bodied wine.",,1551760,6,1.5,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/418065/9d0de81999889c90c5ac5.png?1538431831,,https://johnsonbrothers.storefronts.site/p/Z810T,,,,Gionelli,Wine,Still,Red,,johnson brothers,Prestige Beverage Group,Italy,Alcohol,Wine,Still,Red
Montepulciano d'Abruzzo,"Ruby red hues give way to aromas of ripe berries and flavors of dark fruit with a touch of vanilla and spice. Soft tannins round out this rich, medium-bodied wine.",,1591327,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/418065/9d0de81999889c90c5ac5.png?1538431831,,https://johnsonbrothers.storefronts.site/p/Z810T,,,,Gionelli,Wine,Still,Red,,johnson brothers,Prestige Beverage Group,Italy,Alcohol,Wine,Still,Red
Agiorgitiko Nemea,"Assyrtiko is unique to the Mediterranean in that it achieves ripeness while maintaining high acidity. The wine is light in color with greenish tints. On the palate a fresh fruitiness is apparent with the development of a pleasant acidity and minerality, the latter derived from the unique character of the geology.",,1588986,6,1.5,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/156472/da0e40e45b5c475cdc2ca.png?1521663772,,https://johnsonbrothers.storefronts.site/p/B5DS7,,,,Greek Wine Cellars,Wine,Still,Red,,johnson brothers,Prestige Beverage Group,Greece,Alcohol,Wine,Still,Red
Agiorgitiko Nemea,"Assyrtiko is unique to the Mediterranean in that it achieves ripeness while maintaining high acidity. The wine is light in color with greenish tints. On the palate a fresh fruitiness is apparent with the development of a pleasant acidity and minerality, the latter derived from the unique character of the geology.",,1233373,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/156472/da0e40e45b5c475cdc2ca.png?1521663772,,https://johnsonbrothers.storefronts.site/p/B5DS7,,,,Greek Wine Cellars,Wine,Still,Red,,johnson brothers,Prestige Beverage Group,Greece,Alcohol,Wine,Still,Red
Flowers Moschofilero Mantinia,"A wine possessing a very light, bright color, a delicate yet distinctive bouquet of fine aromas. On the palate the wine develops an intense fruity and flowery taste.",,1800987,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/130419/d2e49ec201ba82fe30409.png?1519305014,,https://johnsonbrothers.storefronts.site/p/53FTC,,,,Greek Wine Cellars,Wine,Still,White,,johnson brothers,Prestige Beverage Group,Greece,Alcohol,Wine,Still,White
Flowers Santorini Assyrtiko,"Assyrtiko is unique to the Mediterranean in that it achieves ripeness while maintaining high acidity. The wine is light in color with greenish tints. On the palate a fresh fruitiness is apparent with the development of a pleasant acidity and minerality, the latter derived from the unique character of the geology.",,1771307,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/130427/7c36332a73a6b4b0a55e3.png?1519305495,,https://johnsonbrothers.storefronts.site/p/MQF6N,,,,Greek Wine Cellars,Wine,Still,White,,johnson brothers,Prestige Beverage Group,Greece,Alcohol,Wine,Still,White
Kourtaki Vin de Crete Red,A color of ripe cherries; an aroma reminiscent of sweet prunes and plump raisins; medium bodied thanks to its freshness; the palate releases soft tannins with a strong sense of berries; a pleasantly lingering after-taste.,,1036529,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/1267615/868a6d9bc970b44a213a7.png?1569502362,,https://johnsonbrothers.storefronts.site/p/AJZMC,,,,Greek Wine Cellars,Wine,Still,Red,,johnson brothers,Prestige Beverage Group,Greece,Alcohol,Wine,Still,Red
Kourtaki Vin de Crete White,"A pale golden color, with delicate wild flower and citron aromas. A feisty straightforward, youthful palate.",,1842543,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/3009619/fd99305f01a3c27ba2328.png?1709363077,,https://johnsonbrothers.storefronts.site/p/E1DL1,,,,Greek Wine Cellars,Wine,Still,White,,johnson brothers,Prestige Beverage Group,Greece,Alcohol,Wine,Still,White
Mantinia Moscofilero,"Bright golden yellow colour, with a full fruity taste, with subtle aromas of citrus fruits.",,1998797,6,1.5,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/369188/6b33faa295ecc413dae8b.png?1536240682,,https://johnsonbrothers.storefronts.site/p/OPI6H,,,,Greek Wine Cellars,Wine,Still,White,,johnson brothers,Prestige Beverage Group,Greece,Alcohol,Wine,Still,White
Muscat of Samos Kourtaki Sweet White Wine,"The Greek island of samos is the unique source of the noted wine. Muscat of Samos. Deliciously sweet, with a wonderful fruity aromas,",,1861847,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/234577/85dfa9bd359f7c7a3a2fa.png?1527951738,,https://johnsonbrothers.storefronts.site/p/4LT3E,,,,Greek Wine Cellars,Wine,Still,White,,johnson brothers,Prestige Beverage Group,Greece,Alcohol,Wine,Still,White
Peloponnese Dry White Apelia,This un-oaked dry white is fresh and flavorful with a fruity bouquet and light crisp finish.,,1028464,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/1232505/74b05a5d8baab472695cf.png?1568388713,,https://johnsonbrothers.storefronts.site/p/5ALX1,,,,Greek Wine Cellars,Wine,Still,White,,johnson brothers,Prestige Beverage Group,Greece,Alcohol,Wine,Still,White
Vodka,Our Midwestern corn goes through an exhaustive hammer milling process that preserves the naturally soft and sweet character. This process inspired our Hammermill Batch Style Vodka and is the foundation of a truly magnificent spirit that is distilled five times for supreme smoothness.,,1506469,12,750.0,,,,,https://s3.amazonaws.com/media.sevenfifty.com/product-images/large/123964/d0f42ba65fe36dd8850ad.png?1518560576,,https://johnsonbrothers.storefronts.site/p/ENARG,,,,Hammermill,Spirit,Vodka,Vodka,,johnson brothers,Prestige Beverage Group,United States,Alcohol,Spirit,Vodka,Vodka
